AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
"Chi, KH; Hung, NT; Lin, CY; Wang, SH; Ou-Yang, CF; Lee, CT; Lin, NH";Evaluation of Atmospheric PCDD/Fs at Two High-Altitude Stations in Vietnam and Taiwan during Southeast Asia Biomass Burning;AEROSOL AND AIR QUALITY RESEARCH;15;2016;16;11;2706;2715;https://doi.org/10.4209/aaqr.2015.11.0653
Barrios, RE;Resilience: A commentary from the vantage point of anthropology;ANNALS OF ANTHROPOLOGICAL PRACTICE;13;2016;40;1;28;38;https://doi.org/10.1111/napa.12085
"Zurovec, O; Cadro, S; Sitaula, BK";Quantitative Assessment of Vulnerability to Climate Change in Rural Municipalities of Bosnia and Herzegovina;SUSTAINABILITY;12;2017;9;7;;;https://doi.org/10.3390/su9071208
"Wohl, E; Lininger, KB; Scott, DN";River beads as a conceptual framework for building carbon storage and resilience to extreme climate events into river management;BIOGEOCHEMISTRY;8;2018;141;3;365;383;https://doi.org/10.1007/s10533-017-0397-7
"Bonaldo, D; Antonioli, F; Archetti, R; Bezzi, A; Correggiari, A; Davolio, S; De Falco, G; Fantini, M; Fontolan, G; Furlani, S; Gaeta, MG; Leoni, G; Lo Presti, V; Mastronuzzi, G; Pillon, S; Ricchi, A; Stocchi, P; Samaras, AG; Scicchitano, G; Carniel, S";Integrating multidisciplinary instruments for assessing coastal vulnerability to erosion and sea level rise: lessons and challenges from the Adriatic Sea, Italy;JOURNAL OF COASTAL CONSERVATION;4;2019;23;1;19;37;https://doi.org/10.1007/s11852-018-0633-x
"Miao, YF; Zhang, DJ; Cai, XM; Li, F; Jin, HL; Wang, YP; Liu, B";Holocene fire on the northeast Tibetan Plateau in relation to climate change and human activity;QUATERNARY INTERNATIONAL;5;2017;443;;124;131;https://doi.org/10.1016/j.quaint.2016.05.029
"Muthusankar, G; Proisy, C; Balasubramanian, D; Bautes, N; Bhalla, RS; Mathevet, R; Ricout, A; Babu, DS; Vasudevan, S";When Socio-Economic Plans Exacerbate Vulnerability to Physical Coastal Processes on the South East Coast of India;JOURNAL OF COASTAL RESEARCH;0;2018;;;1446;1450;https://doi.org/10.2112/SI85-290.1
Hammitt, JK;Global climate change: Benefit-cost analysis vs. the precautionary principle;HUMAN AND ECOLOGICAL RISK ASSESSMENT;6;2000;6;3;387;398;https://doi.org/10.1080/10807030091124536
"Mastronuzzi, G; Sanso, P";Holocene coastal dune development and environmental changes in Apulia (southern Italy);SEDIMENTARY GEOLOGY;42;2002;150;02. Jan;139;152;https://doi.org/10.1016/S0037-0738(01)00272-X
"Golden, JS; Hartz, D; Brazel, A; Luber, G; Phelan, P";A biometeorology study of climate and heat-related morbidity in Phoenix from 2001 to 2006;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY;70;2008;52;6;471;480;https://doi.org/10.1007/s00484-007-0142-3
Schowalter, TD;Ecosystem Structure and Function;INSECT ECOLOGY: AN ECOSYSTEM APPROACH, 4TH EDITION;0;2016;;;367;404;https://doi.org/10.1016/B978-0-12-803033-2.00011-X
"Hu, K; Chen, GJ; Gregory-Eaves, I; Huang, LP; Chen, XL; Liu, YY; Leavitt, PR";Hydrological fluctuations modulate phototrophic responses to nutrient fertilization in a large and shallow lake of Southwest China;AQUATIC SCIENCES;1;2019;81;2;;;https://doi.org/10.1007/s00027-019-0633-4
"Lu, X; Wrathall, DJ; Sundsoy, PR; Nadiruzzaman, M; Wetter, E; Iqbal, A; Qureshi, T; Tatem, A; Canright, G; Engo-Monsen, K; Bengtsson, L";Unveiling hidden migration and mobility patterns in climate stressed regions: A longitudinal study of six million anonymous mobile phone users in Bangladesh;GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;31;2016;38;;1;7;https://doi.org/10.1016/j.gloenvcha.2016.02.002
PALINKAS, LA;GOING TO EXTREMES - THE CULTURAL-CONTEXT OF STRESS, ILLNESS AND COPING IN ANTARCTICA;SOCIAL SCIENCE & MEDICINE;55;1992;35;5;651;664;https://doi.org/10.1016/0277-9536(92)90004-A
"Kaal, J; Schellekens, J; Nierop, KGJ; Cortizas, AM; Muller, J";Contribution of organic matter molecular proxies to interpretation of the last 55 ka of the Lynch's Crater record (NE Australia);PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;10;2014;414;;20;31;https://doi.org/10.1016/j.palaeo.2014.07.040
"Kamini, J; Jayanthi, SC; Raghavswamy, V";Spatio-temporal analysis of land use in urban Mumbai - Using multi-sensor satellite data and GIS techniques;PHOTONIRVACHAK-JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING;16;2006;34;4;385;396;https://doi.org/
"Adam, EF; Brown, S; Nicholls, RJ; Tsimplis, M";A systematic assessment of maritime disruptions affecting UK ports, coastal areas and surrounding seas from 1950 to 2014;NATURAL HAZARDS;1;2016;83;1;691;713;https://doi.org/10.1007/s11069-016-2347-4
Heyd, T;Rapid. natural changes: A perspective from environmental philosophy;QUATERNARY INTERNATIONAL;1;2007;173;;161;165;https://doi.org/10.1016/j.quaint.2007.03.004
"Telesca, V; Lay-Ekuakille, A; Ragosta, M; Giorgio, GA; Lumpungu, B";Effects on Public Health of Heat Waves to Improve the Urban Quality of Life;SUSTAINABILITY;1;2018;10;4;;;https://doi.org/10.3390/su10041082
"Wu, SH; Liu, LL; Gao, JB; Wang, WT";Integrate Risk From Climate Change in China Under Global Warming of 1.5 and 2.0 degrees C.;EARTHS FUTURE;0;;;;;;https://doi.org/10.1029/2019EF001194
