,,,"Author, editor or organization",Year derived,Title,Subtitle,Reference type,Periodical,DOI name,Volume,Number,Date,Page range,Keywords,Categories,StartDate (= Custom field 1)
TRUE,FALSE,FALSE,"Rao, Dhananjai M.; Chernyakhovsky, Alexander; Rao, Victoria",2009,Modeling and analysis of global epidemiology of avian influenza,,Journal Article,Environmental Modelling & Software,10.1016/j.envsoft.2008.06.011,24,1,,124–134,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 2.3 Policy; 2.4 Plant/animal; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.13 Impact; 4.30 Devastative; 4.80 Surprise; 5.38 Pandemic Simulation; 6.1.2 Numerical; 7.3 Risk; 7.4 Adaptation; 7.7 Health & psychology; 7.8 Management; 7.18 Prediction; 7.21 Loss and damage; 7.60 Disaster prevention; 8.5 Projected (future); 9.3 Question-driven; 9.4 Persuasion; 11.1 Global; 12.8.10 Pandemic; 14.1 Social Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Nel, Jeanne L.; Le Maitre, David C.; Nel, Deon C.; Reyers, Belinda; Archibald, Sally; van Wilgen, Brian W.; Forsyth, Greg G.; Theron, Andre K.; O'Farrell, Patrick J.; Kahinda, Jean-Marc Mwenge; Engelbrecht, Francois A.; Kapangaziwiri, Evison; van Niekerk, Lara; Barwell, Laurie",2014,Natural hazards in a changing world: a case for ecosystem-based management,,Journal Article,PloS one,10.1371/journal.pone.0095942,9,5,,e95942,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 2.3 Policy; 3.1 Quantitatively; 4.6 Disaster; 4.11 Hazard; 4.12 Intensity; 4.13 Impact; 4.14 Exposure; 4.20 Frequency; 4.48 Exceedence; 4.77 Extreme event; 5.13.1 Climate Models (simulation); 5.14.2 Hydrodynamic Simulation; 5.24 Indeces (Composite); 6.1.2 Numerical; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.11 Land use & landscape changes; 7.24 Vulnerability; 7.26 Ecology and ecosystems; 7.41 Scale; 7.51 Uncertainty (data); 7.53 Trending Extremes; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.2 Discovery-driven; 11.6.3 South Africa; 12.4.1 Flood; 12.4.2 Storms; 12.4.3 Drought; 12.8.1 Fire; 13.3 Hurricane Katrina; 13.5 Hurricane Sandy; 14.4 Ecology; 16.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Thieken, Annegret H.; Bessel, Tina; Kienzler, Sarah; Kreibich, Heidi; Müller, Meike; Pisi, Sebastian; Schröter, Kai",2016,The flood of June 2013 in Germany: how much do we know about its impacts?,,Journal Article,Nat. Hazards Earth Syst. Sci. (Natural Hazards and Earth System Sciences),10.5194/nhess-16-1519-2016,16,6,,1519–1540,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 2.3 Policy; 3.1 Quantitatively; 4.6 Disaster; 4.11 Hazard; 4.13 Impact; 4.16 Disturbance; 4.17 Magnitude; 4.20 Frequency; 4.29 Dramatic effect; 4.48 Exceedence; 4.52 Superlative (somethig-est); 4.62 Widespread; 5.19.3 Interviews; 5.20.2 Financial Costs; 5.21 Mortality; 5.33 Traffic Reports; 6.1.2 Numerical; 7.3 Risk; 7.7 Health & psychology; 7.8 Management; 7.21 Loss and damage; 7.24 Vulnerability; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.3.8 Germany; 12.4.1 Flood; 14.1 Social Science; 16.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Oppenheimer, Clive",2002,"Limited global change due to the largest known Quaternary eruption, Toba ≈74kyr BP?",,Journal Article,Quaternary Science Reviews,10.1016/S0277-3791(01)00154-8,21,14-15,,1593–1609,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 3.2 Analogously; 4.8 Catastrophic; 4.12 Intensity; 4.13 Impact; 4.17 Magnitude; 4.18 High-magnitude; 4.51 Duration; 4.52 Superlative (somethig-est); 4.55 Cataclysm; 4.62 Widespread; 4.66 Multiplicative (x times more); 4.81 Stupendous; 4.82 Monumental; 5.10.8 Sediment; 5.11.3 Atmospheric Chemicals (NGRIP); 5.15.2 Time Series; 6.1.2 Numerical; 6.2.2 Review; 7.2 Populations; 7.5 Climate change; 7.7 Health & psychology; 7.17 Habitat destruction; 7.36 Systems; 7.51 Uncertainty (data); 8.4 Prehistorical (<10,000); 9.4 Persuasion; 9.5 Review; 10 Chronology; 11.1 Global; 12.2.3 Volcano; 13.24 Eruption, Pinatubo; 13.25 Eruption, Krakatoa; 13.40 Toba Eruption; 13.42 El Chican Eruption; 13.43 Santorini Eruption (Bronze Age); 14.7 Palaeo Science; 16.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Fedele, Francesco G.; Giaccio, Biagio; Isaia, Roberto; Orsi, Giovanni",2012,Ecosystem Impact of the Campanian Ignimbrite Eruption in Late Pleistocene Europe,,Journal Article,Quat. res. (Quaternary Research),10.1006/qres.2002.2331,57,3,,420–424,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.2 Abrupt; 4.12 Intensity; 4.17 Magnitude; 4.24 Crisis; 4.28 Severe; 4.29 Dramatic effect; 4.42 Significant; 4.62 Widespread; 4.79 Discontinuity; 5.10.8 Sediment; 6.1.2 Numerical; 6.2.1 Visual; 6.2.2 Review; 7.4 Adaptation; 7.5 Climate change; 7.17 Habitat destruction; 7.19 Cultural change; 7.33 Change; 8.4 Prehistorical (<10,000); 9.2 Discovery-driven; 9.4 Persuasion; 10 Chronology; 11.3.20 Eastern Europe; 11.10 Mediterranean; 12.2.3 Volcano; 13.39 Campanian Ignimbrite Eruption (37K BP); 14.7 Palaeo Science; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Viglizzo, Ernesto F.; Frank, Federico C.",2006,"Ecological interactions, feedbacks, thresholds and collapses in the Argentine Pampas in response to climate and farming during the last century",,Journal Article,Quaternary International,10.1016/j.quaint.2006.05.022,158,1,,122–126,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.8 Catastrophic; 4.23 Overwhelm/Threshold; 4.24 Crisis; 4.28 Severe; 4.29 Dramatic effect; 4.44 Disruption; 4.74 Critical; 5.10.3 Erosion; 5.13.2 Wind velocity; 5.13.10 Precipitation; 5.15.2 Time Series; 5.17.2 Cultivation Area; 5.25 Land use; 6.1.1 Statistical; 6.1.2 Numerical; 6.2.1 Visual; 7.2 Populations; 7.5 Climate change; 7.6 Human activity; 7.10 Agriculture; 7.17 Habitat destruction; 7.21 Loss and damage; 7.22 Socio/Politico/Cultural Context; 7.23 Complex; 7.26 Ecology and ecosystems; 7.38 Sustainability; 7.39 Human-environment dynamics; 7.41 Scale; 7.67 Feedbacks; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.5.2.3 Argentina; 12.4.1 Flood; 12.4.15 Dust Storm; 14.2 Earth Science; 16.1 Completed; 18 Cluster 2; 21 Complete set,
TRUE,FALSE,FALSE,"Christidis, Nikolaos; Jones, Gareth S.; Stott, Peter A.",2015,Dramatically increasing chance of extremely hot summers since the 2003 European heatwave,,Journal Article,Nature Clim Change (Nature Climate Change),10.1038/NCLIMATE2468,5,1,,46–50,,1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 3.4 Statistically; 4.8 Catastrophic; 4.13 Impact; 4.20 Frequency; 4.23 Overwhelm/Threshold; 5.13.1 Climate Models (simulation); 5.13.8 Temperature; 5.15.2 Time Series; 6.1.1 Statistical; 7.5 Climate change; 7.29 Attribution; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.3.19 Europe; 12.4.9 Severe heat/heat wave; 12.4.10 Temperature extremes; 14.3 Climate Science; 16.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Modarres, Reza",2007,Streamflow drought time series forecasting,,Journal Article,Stoch Environ Res Ris Assess (Stochastic Environmental Research and Risk Assessment),10.1007/s00477-006-0058-1,21,3,,223–233,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 3.4 Statistically; 4.23 Overwhelm/Threshold; 4.28 Severe; 5.14.4 River Discharge Values; 5.14.5 Water level/flow; 5.15.2 Time Series; 5.24 Indeces (Composite); 6.1.1 Statistical; 7.21 Loss and damage; 7.48 Thresholds/Tipping points; 7.61 Cycles; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.7.1 Zayandehrud River Basin, Iran; 12.4.3 Drought; 14.2 Earth Science; 16.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Marriner, Nick; Flaux, Clément; Morhange, Christophe; Stanley, Jean-Daniel",2013,Tracking Nile Delta vulnerability to Holocene change,,Journal Article,PloS one,10.1371/journal.pone.0069195,8,7,,e69195,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 4.2 Abrupt; 4.4 Rapid; 4.13 Impact; 4.15 Sensitivity; 4.17 Magnitude; 4.42 Significant; 4.46 Drastic (change); 4.60 Transition; 4.76 Extremes; 4.85 pronounced; 4.95 Striking Increase; 5.10.8 Sediment; 5.15.1 Radiocarbon; 5.15.2 Time Series; 5.25 Land use; 6.1 Quantitative; 6.1.2 Numerical; 7.1 Resilience; 7.2 Populations; 7.5 Climate change; 7.10 Agriculture; 7.12 Resource security; 7.17 Habitat destruction; 7.23 Complex; 7.24 Vulnerability; 7.25 Climate & circulation; 7.48 Thresholds/Tipping points; 7.80 Deltas; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 11.6.6 Nile River and Delta; 12.4.1 Flood; 12.4.2 Storms; 12.7.4 Sea Level Change; 14.2 Earth Science; 14.5 Hydrology; 16.1 Completed; 21 Complete set",
TRUE,FALSE,FALSE,"Ghilardi, Matthieu; Psomiadis, David; Cordier, Stéphane; Delanghe-Sabatier, Doriane; Demory, François; Hamidi, Fatiha; Paraschou, Theodoros; Dotsika, Elissavet; Fouache, Eric",2012,"The impact of rapid early- to mid-Holocene palaeoenvironmental changes on Neolithic settlement at Nea Nikomideia, Thessaloniki Plain, Greece",,Journal Article,Quaternary International,10.1016/j.quaint.2010.12.016,266,,,47–61,,"1 To do; 2.1 Human-centred; 2.2 Env. centred; 3.1 Quantitatively; 4.2 Abrupt; 4.4 Rapid; 4.13 Impact; 4.42 Significant; 4.85 pronounced; 5.1.2 Carbon isotope; 5.1.3 Oxygen isotope; 5.1.4 Stable Isotopes; 5.10.5 Sediment (Organic LoI); 5.10.6 Sediment (grain size); 5.10.7 Sediment (Magnetic Susceptibility); 5.10.8 Sediment; 6.1.1 Statistical; 6.1.2 Numerical; 6.2.1 Visual; 6.2.6 Interpretive; 7.2 Populations; 7.5 Climate change; 7.17 Habitat destruction; 7.25 Climate & circulation; 7.26 Ecology and ecosystems; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10 Chronology; 11.3.10 Greece; 11.3.10.1 Thessaloniki Plain, Greece; 12.3.1 Climate Change; 12.3.2 Climatic cooling (e.g., 4.2 ka event); 12.7.4 Sea Level Change; 13.9 8.2 kya event; 14.7 Palaeo Science; 16.1 Completed; 19 Cluster 3; 21 Complete set",
